index,APL,WCtime,RNGCalls,Estimated_Variance,PCoeff_old,PCoeff_new,Var_Plain,Var_VR,bias_num,bias_trap
393,1.019950e+02,9.542785e-01,4.079800e+04,1.608004e-02,-9.454690e-01,-8.988151e-01,1.041814e-02,2.510299e-03,-1.262436e-04,-1.262436e-04
394,1.317550e+02,1.253689e+00,5.270200e+04,2.285596e-02,-9.441812e-01,-9.404498e-01,1.619455e-02,3.560885e-03,-8.706828e-05,-8.706828e-05
395,1.546550e+02,1.268763e+00,6.186200e+04,2.954205e-02,-9.639698e-01,-9.199327e-01,2.953365e-02,3.430832e-03,-7.603597e-05,-7.603597e-05
396,1.317750e+02,1.232617e+00,5.271000e+04,3.453654e-02,-9.708926e-01,-9.382479e-01,2.143461e-02,3.988361e-03,-1.171462e-04,-1.171462e-04
397,1.382950e+02,1.290913e+00,5.531800e+04,3.699768e-02,-9.724567e-01,-9.596163e-01,2.601085e-02,3.387557e-03,-1.032165e-04,-1.032165e-04
398,9.514000e+01,9.080364e-01,3.805600e+04,3.078295e-02,-9.823991e-01,-9.638212e-01,2.429231e-02,1.841472e-03,-9.729707e-05,-9.729707e-05
399,4.574000e+01,5.955836e-01,1.829600e+04,1.742775e-02,-9.768369e-01,-9.752208e-01,1.048945e-02,9.711022e-04,-1.974831e-04,-1.974831e-04
400,6.018000e+01,7.462867e-01,2.407200e+04,1.855490e-02,-9.824083e-01,-9.801763e-01,2.089484e-02,7.561989e-04,-1.325588e-04,-1.325588e-04
401,8.867500e+01,8.688096e-01,3.547000e+04,2.651521e-02,-9.847011e-01,-9.836478e-01,2.676698e-02,1.055860e-03,-3.163805e-05,-3.163805e-05
402,1.205650e+02,1.158281e+00,4.822600e+04,3.241186e-02,-9.816781e-01,-9.805425e-01,3.057623e-02,1.433154e-03,3.992340e-05,3.992340e-05
403,1.412850e+02,1.298242e+00,5.651400e+04,3.535832e-02,-9.724370e-01,-9.726949e-01,3.272352e-02,1.978508e-03,5.823291e-05,5.823291e-05
404,1.439150e+02,1.190879e+00,5.756600e+04,3.209716e-02,-9.720524e-01,-9.708465e-01,3.276989e-02,2.387273e-03,1.289269e-04,1.289269e-04
405,1.360400e+02,1.278753e+00,5.441600e+04,2.922704e-02,-9.703688e-01,-9.704345e-01,2.532718e-02,2.171667e-03,1.732719e-04,1.732719e-04
406,1.134150e+02,1.021524e+00,4.536600e+04,2.098981e-02,-9.665995e-01,-9.632598e-01,1.433362e-02,1.449478e-03,1.923019e-04,1.923019e-04
407,6.111500e+01,7.504876e-01,2.444600e+04,1.044114e-02,-9.605373e-01,-9.560104e-01,1.013979e-02,9.569783e-04,2.183700e-04,2.183700e-04
408,5.951000e+01,6.680367e-01,2.380400e+04,2.508077e-03,-8.321632e-01,-8.342973e-01,2.066677e-03,1.004702e-03,2.655829e-04,2.655829e-04
409,8.687000e+01,9.147912e-01,3.474800e+04,3.325898e-03,-8.720702e-01,-8.644579e-01,2.502728e-03,1.174863e-03,2.694770e-04,2.694770e-04
410,1.223950e+02,1.070152e+00,4.895800e+04,7.210044e-03,-9.549137e-01,-9.503659e-01,6.009222e-03,9.398267e-04,3.106308e-04,3.106308e-04
411,1.350950e+02,1.245232e+00,5.403800e+04,7.167650e-03,-9.473609e-01,-9.416387e-01,6.376025e-03,1.044014e-03,3.262317e-04,3.262317e-04
412,1.410400e+02,1.193992e+00,5.641600e+04,8.615416e-03,-9.588563e-01,-9.534815e-01,9.229131e-03,1.318059e-03,3.216767e-04,3.216767e-04
