index,APL,WCtime,RNGCalls,Estimated_Variance,PCoeff_old,PCoeff_new,Var_Plain,Var_VR,bias_num,bias_trap
302,1.209450e+02,3.726548e+00,1.451340e+05,1.383407e-01,-9.868935e-01,-9.863920e-01,1.292230e-01,5.318650e-03,6.650593e-05,6.650593e-05
303,1.430625e+02,2.844116e+00,1.144500e+05,1.610575e-01,-9.866797e-01,-9.858583e-01,1.668462e-01,5.756754e-03,7.725013e-05,7.725013e-05
304,1.364757e+02,4.628506e+00,1.910660e+05,1.595532e-01,-9.797921e-01,-9.791471e-01,1.447122e-01,7.771642e-03,1.184517e-04,1.184517e-04
305,1.273144e+02,5.676274e+00,2.291660e+05,1.549299e-01,-9.763177e-01,-9.762664e-01,1.430716e-01,9.381160e-03,1.799299e-04,1.799299e-04
306,1.008200e+02,3.652432e+00,1.411480e+05,1.241332e-01,-9.649743e-01,-9.643736e-01,1.067805e-01,9.773938e-03,2.242688e-04,2.242688e-04
307,5.948444e+01,3.353286e+00,1.070720e+05,7.478157e-02,-9.420708e-01,-9.412970e-01,7.008032e-02,8.574335e-03,3.466552e-04,3.466552e-04
308,5.571000e+01,3.692590e-01,1.114200e+04,5.168810e-02,-9.922189e-01,-9.926853e-01,4.631843e-02,1.128710e-03,3.639542e-04,3.639542e-04
309,1.013100e+02,5.547413e-01,2.026200e+04,8.852237e-02,-9.950737e-01,-9.940210e-01,7.772784e-02,1.854334e-03,2.994508e-04,2.994508e-04
310,1.277000e+02,6.802624e-01,2.554000e+04,1.000710e-01,-9.962761e-01,-9.959040e-01,1.178260e-01,1.833443e-03,1.971927e-04,1.971927e-04
311,1.411800e+02,6.276053e-01,2.823600e+04,1.152249e-01,-9.968115e-01,-9.964338e-01,1.164525e-01,1.530871e-03,1.687766e-04,1.687766e-04
312,1.332700e+02,6.993671e-01,2.665400e+04,1.016648e-01,-9.961212e-01,-9.953619e-01,1.049642e-01,1.641077e-03,1.668114e-04,1.668114e-04
313,1.306800e+02,6.723764e-01,2.613600e+04,9.584014e-02,-9.927419e-01,-9.920821e-01,9.936577e-02,1.791750e-03,1.338267e-04,1.338267e-04
314,9.576500e+01,1.077516e+00,3.830600e+04,7.124135e-02,-9.936841e-01,-9.935667e-01,7.406627e-02,1.215887e-03,1.454947e-04,1.454947e-04
315,5.536000e+01,3.122548e-01,1.107200e+04,3.599248e-02,-9.907371e-01,-9.906211e-01,4.392314e-02,8.999558e-04,2.324015e-04,2.324015e-04
316,4.998500e+01,6.732052e-01,1.999400e+04,3.381186e-02,-9.796555e-01,-9.784604e-01,2.768045e-02,1.767257e-03,1.778072e-04,1.778072e-04
317,9.395333e+01,1.432053e+00,5.637200e+04,5.706691e-02,-9.831000e-01,-9.833489e-01,5.806413e-02,2.730760e-03,1.438112e-04,1.026116e-04
318,1.271367e+02,1.753515e+00,7.628200e+04,7.991941e-02,-9.832026e-01,-9.822532e-01,6.819786e-02,3.099472e-03,6.647593e-05,6.647593e-05
319,1.523367e+02,2.141008e+00,9.140200e+04,9.276325e-02,-9.854576e-01,-9.850667e-01,8.331851e-02,3.579616e-03,-2.118657e-05,-2.118657e-05
320,1.425533e+02,1.786280e+00,8.553200e+04,9.277058e-02,-9.871790e-01,-9.868659e-01,8.071534e-02,2.933414e-03,-5.238170e-05,-5.238170e-05
321,1.322500e+02,1.800345e+00,7.935000e+04,8.638299e-02,-9.818111e-01,-9.811427e-01,7.277270e-02,3.335134e-03,-1.032734e-04,-1.032734e-04
322,8.789667e+01,1.023393e+00,5.273800e+04,5.777906e-02,-9.743178e-01,-9.738286e-01,5.197530e-02,3.245634e-03,-1.630847e-04,-1.630847e-04
323,6.183667e+01,8.205564e-01,3.710200e+04,3.671132e-02,-9.741633e-01,-9.745093e-01,3.966077e-02,2.163712e-03,-2.312729e-04,-2.312729e-04
324,0.000000e+00,5.723893e-03,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,-4.446235e-05,-4.446235e-05
325,0.000000e+00,6.361637e-03,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,-4.446235e-05,-4.446235e-05
326,6.523000e+01,2.981745e-01,1.304600e+04,6.084782e-03,-9.953221e-01,-9.762389e-01,6.754802e-03,1.427034e-04,2.724098e-04,2.724098e-04
327,1.037900e+02,4.853147e-01,2.075800e+04,1.117168e-02,-9.974580e-01,-9.774307e-01,1.451981e-02,2.139601e-04,2.292740e-04,2.292740e-04
328,1.446200e+02,6.584894e-01,2.892400e+04,1.602531e-02,-9.958723e-01,-9.742500e-01,1.660688e-02,3.338671e-04,1.806155e-04,1.806155e-04
329,1.472600e+02,6.858183e-01,2.945200e+04,1.651894e-02,-9.915616e-01,-9.744965e-01,1.859633e-02,5.795918e-04,1.802128e-04,1.802128e-04
330,1.454700e+02,5.392744e-01,2.909400e+04,1.686224e-02,-9.947223e-01,-9.777490e-01,1.861100e-02,5.778577e-04,2.446234e-04,2.446234e-04
331,1.173000e+02,6.021618e-01,2.346000e+04,1.372949e-02,-9.906569e-01,-9.676185e-01,1.368629e-02,5.231279e-04,1.337814e-04,1.337814e-04
332,1.080400e+02,5.801470e-01,2.160800e+04,1.258383e-02,-9.897426e-01,-9.713580e-01,1.392906e-02,5.541442e-04,1.820120e-04,1.820120e-04
333,7.208000e+01,3.675014e-01,1.441600e+04,9.168819e-03,-9.827457e-01,-9.712121e-01,6.785726e-03,3.485453e-04,1.413477e-04,1.413477e-04
334,5.470000e+01,3.556895e-01,1.094000e+04,5.242850e-03,-9.735309e-01,-9.632732e-01,5.746761e-03,6.497544e-04,9.390740e-05,9.390740e-05
335,1.224200e+02,5.830181e-01,2.448400e+04,9.744853e-03,-9.689529e-01,-9.425660e-01,1.077822e-02,9.340729e-04,1.435021e-04,1.435021e-04
336,1.187200e+02,5.604428e-01,2.374400e+04,9.506474e-03,-9.472813e-01,-8.884026e-01,8.330352e-03,1.262732e-03,1.404618e-04,1.404618e-04
337,1.580700e+02,5.698736e-01,3.161400e+04,1.160215e-02,-9.516078e-01,-9.029588e-01,1.224864e-02,1.287519e-03,1.262558e-04,1.262558e-04
338,1.549900e+02,6.825477e-01,3.099800e+04,1.113345e-02,-9.404934e-01,-8.857379e-01,9.216012e-03,1.531734e-03,6.448380e-05,6.448380e-05
339,1.296500e+02,6.044178e-01,2.593000e+04,8.598859e-03,-9.412143e-01,-8.361651e-01,8.081007e-03,1.374315e-03,7.292214e-05,7.292214e-05
340,8.952000e+01,4.712616e-01,1.790400e+04,5.995947e-03,-9.403192e-01,-7.995188e-01,5.282455e-03,7.912514e-04,9.997048e-05,9.997048e-05
341,5.837000e+01,3.571795e-01,1.167400e+04,3.909700e-03,-8.936590e-01,-5.878700e-01,2.813711e-03,6.552652e-04,6.710285e-05,6.710285e-05
342,6.793667e+01,1.127949e+00,4.076200e+04,1.539864e-02,-8.744762e-01,-8.187129e-01,8.305155e-03,3.105814e-03,9.829984e-05,9.829984e-05
343,9.282333e+01,1.396434e+00,5.569400e+04,2.108226e-02,-9.284226e-01,-8.932455e-01,1.560564e-02,3.451099e-03,1.052451e-04,1.052451e-04
344,1.278267e+02,1.811377e+00,7.669600e+04,3.320593e-02,-9.608129e-01,-9.465423e-01,2.334011e-02,3.890020e-03,1.486390e-04,1.486390e-04
345,1.450150e+02,1.180846e+00,5.800600e+04,3.905033e-02,-9.616311e-01,-9.505243e-01,2.457893e-02,3.411985e-03,1.214781e-04,1.214781e-04
346,1.482500e+02,1.334098e+00,5.930000e+04,4.031601e-02,-9.793591e-01,-9.644072e-01,3.279767e-02,2.340993e-03,1.865387e-04,1.865387e-04
347,1.195650e+02,1.021838e+00,4.782600e+04,3.471557e-02,-9.756938e-01,-9.711004e-01,2.663602e-02,2.903930e-03,2.961889e-04,2.961889e-04
348,8.512000e+01,4.471892e-01,1.702400e+04,2.610456e-02,-9.894428e-01,-9.807750e-01,2.388110e-02,1.262553e-03,3.796755e-04,3.796755e-04
349,4.877000e+01,3.440962e-01,9.754000e+03,1.451735e-02,-9.842504e-01,-9.708805e-01,7.825891e-03,1.174821e-03,4.438329e-04,4.438329e-04
