Gvar_i,Gvar_j,Gvar_ij
119,11,4.268021e-04
61,12,8.339288e-03
62,12,9.140981e-03
63,12,9.034192e-03
64,12,8.526156e-03
65,12,8.920681e-03
66,12,8.227211e-03
67,12,9.243681e-03
68,12,9.183298e-03
69,12,8.496692e-03
70,12,8.000569e-03
71,12,8.217852e-03
72,12,7.899455e-03
73,12,9.507136e-03
74,12,7.653343e-03
75,12,8.662077e-03
76,12,9.050137e-03
77,12,8.886466e-03
78,12,8.407182e-03
79,12,7.366088e-03
80,12,9.167905e-03
81,12,7.776956e-03
82,12,6.855827e-03
83,12,6.443281e-03
84,12,6.328274e-03
85,12,5.322944e-03
86,12,4.527795e-03
87,12,4.133415e-03
88,12,2.502210e-03
89,12,2.183251e-03
90,12,8.094733e-04
91,12,7.927419e-04
92,12,1.326406e-03
93,12,2.046120e-03
94,12,2.759565e-03
95,12,2.722250e-03
96,12,3.094851e-03
97,12,4.028980e-03
98,12,4.132173e-03
99,12,3.980239e-03
100,12,4.736416e-03
101,12,4.488310e-03
102,12,3.939606e-03
103,12,4.684320e-03
104,12,4.766595e-03
105,12,4.807507e-03
106,12,3.851625e-03
107,12,3.486721e-03
108,12,3.726783e-03
109,12,3.572214e-03
110,12,2.996950e-03
111,12,2.993474e-03
112,12,2.616161e-03
113,12,2.502931e-03
114,12,1.830119e-03
115,12,1.771262e-03
116,12,1.601818e-03
117,12,1.261981e-03
118,12,6.020393e-04
119,12,1.860628e-04
61,13,9.883022e-03
62,13,1.023356e-02
63,13,1.065237e-02
64,13,1.023877e-02
65,13,9.845481e-03
66,13,1.057601e-02
67,13,9.602280e-03
68,13,8.687370e-03
69,13,9.709857e-03
70,13,9.943122e-03
71,13,1.010991e-02
72,13,8.404613e-03
73,13,9.333643e-03
74,13,9.486911e-03
75,13,9.679534e-03
76,13,9.906913e-03
77,13,9.153527e-03
78,13,9.689566e-03
79,13,8.976639e-03
80,13,7.897113e-03
81,13,8.613406e-03
82,13,8.100849e-03
83,13,6.884563e-03
84,13,8.329960e-03
85,13,5.769667e-03
86,13,5.312784e-03
87,13,4.016930e-03
88,13,3.381063e-03
89,13,2.419373e-03
90,13,1.074767e-03
91,13,7.169134e-04
92,13,1.304868e-03
93,13,2.096451e-03
94,13,3.037652e-03
95,13,4.012083e-03
96,13,4.293802e-03
97,13,4.645646e-03
98,13,4.964437e-03
99,13,5.779581e-03
100,13,5.231154e-03
101,13,5.624604e-03
102,13,5.535892e-03
103,13,5.388672e-03
104,13,4.733607e-03
105,13,5.014048e-03
106,13,5.325177e-03
107,13,4.468120e-03
108,13,4.342186e-03
109,13,3.537652e-03
110,13,3.107557e-03
111,13,3.546139e-03
112,13,3.018373e-03
113,13,2.762388e-03
114,13,2.228682e-03
115,13,1.798681e-03
116,13,1.509996e-03
117,13,1.152584e-03
118,13,1.168965e-03
119,13,3.168669e-04
61,14,1.071677e-02
62,14,1.285419e-02
63,14,1.140807e-02
64,14,1.082193e-02
65,14,1.076848e-02
66,14,1.144399e-02
67,14,1.116001e-02
68,14,1.142956e-02
69,14,1.062081e-02
70,14,1.048751e-02
71,14,1.035257e-02
72,14,9.823498e-03
73,14,1.075241e-02
74,14,1.157255e-02
75,14,1.066406e-02
76,14,1.038866e-02
77,14,9.954368e-03
78,14,1.006143e-02
79,14,1.003869e-02
80,14,1.057543e-02
81,14,1.028748e-02
82,14,8.622666e-03
83,14,9.184675e-03
84,14,7.983794e-03
85,14,6.194678e-03
86,14,5.806742e-03
87,14,5.145427e-03
88,14,4.587420e-03
89,14,2.461376e-03
90,14,1.109311e-03
91,14,1.008162e-03
92,14,1.818146e-03
93,14,2.368586e-03
94,14,3.597566e-03
95,14,4.781190e-03
96,14,4.296082e-03
97,14,5.763399e-03
98,14,5.064030e-03
99,14,5.599837e-03
100,14,6.000569e-03
101,14,6.893261e-03
102,14,6.993624e-03
103,14,6.180549e-03
104,14,5.616164e-03
105,14,5.313937e-03
106,14,5.207238e-03
107,14,4.698799e-03
108,14,4.024874e-03
109,14,4.336797e-03
110,14,3.872640e-03
111,14,3.119901e-03
112,14,3.009810e-03
113,14,2.737155e-03
114,14,2.865453e-03
115,14,2.134837e-03
116,14,1.746942e-03
117,14,9.467937e-04
118,14,7.695080e-04
119,14,3.722661e-04
61,15,1.246207e-02
62,15,1.307674e-02
63,15,1.160797e-02
64,15,1.258503e-02
65,15,1.260341e-02
66,15,1.269358e-02
67,15,1.193691e-02
68,15,1.282468e-02
69,15,1.141860e-02
70,15,1.258183e-02
71,15,1.255013e-02
72,15,1.198107e-02
73,15,1.262082e-02
74,15,1.209130e-02
75,15,1.122909e-02
76,15,1.186631e-02
77,15,1.083909e-02
78,15,1.187083e-02
79,15,1.222904e-02
80,15,1.107024e-02
81,15,1.118019e-02
82,15,1.069399e-02
83,15,1.102936e-02
84,15,8.623599e-03
85,15,7.408723e-03
86,15,6.521721e-03
87,15,5.874843e-03
88,15,4.354772e-03
89,15,2.613920e-03
90,15,1.850552e-03
91,15,1.145806e-03
92,15,2.328990e-03
93,15,2.353988e-03
94,15,4.110493e-03
95,15,4.696932e-03
96,15,5.821987e-03
97,15,6.396936e-03
98,15,6.364752e-03
99,15,6.334470e-03
100,15,7.351862e-03
101,15,6.891368e-03
102,15,6.692296e-03
103,15,5.892373e-03
104,15,6.568822e-03
105,15,6.221505e-03
106,15,5.942399e-03
107,15,5.582553e-03
108,15,5.367372e-03
109,15,4.300169e-03
110,15,4.728127e-03
111,15,3.764871e-03
112,15,3.810360e-03
113,15,3.012913e-03
114,15,2.765802e-03
115,15,2.316822e-03
116,15,1.850332e-03
117,15,9.248627e-04
118,15,1.125212e-03
119,15,5.894081e-04
61,16,1.431930e-02
62,16,1.420761e-02
63,16,1.494621e-02
64,16,1.427719e-02
65,16,1.364280e-02
66,16,1.340128e-02
67,16,1.331243e-02
68,16,1.395673e-02
69,16,1.285437e-02
70,16,1.405946e-02
71,16,1.338999e-02
72,16,1.383811e-02
73,16,1.219087e-02
74,16,1.430482e-02
75,16,1.310654e-02
76,16,1.277811e-02
77,16,1.334250e-02
78,16,1.417801e-02
79,16,1.292815e-02
80,16,1.310274e-02
81,16,1.144256e-02
82,16,1.248597e-02
83,16,1.193829e-02
84,16,1.023965e-02
85,16,9.788663e-03
86,16,8.990409e-03
87,16,6.167961e-03
88,16,4.663751e-03
89,16,3.081769e-03
90,16,1.854873e-03
91,16,1.161891e-03
92,16,2.848582e-03
93,16,3.085609e-03
94,16,5.169264e-03
95,16,5.403425e-03
96,16,6.078854e-03
97,16,7.096718e-03
98,16,7.232990e-03
99,16,6.893954e-03
100,16,7.986091e-03
101,16,6.960982e-03
102,16,7.242214e-03
103,16,7.551843e-03
104,16,6.538756e-03
105,16,6.638784e-03
106,16,5.585438e-03
107,16,6.084643e-03
108,16,5.362327e-03
109,16,4.957010e-03
110,16,4.728779e-03
111,16,3.904248e-03
112,16,3.959181e-03
113,16,3.040830e-03
114,16,3.173033e-03
115,16,2.504828e-03
116,16,2.319113e-03
117,16,1.334687e-03
118,16,8.018692e-04
119,16,6.859180e-04
61,17,1.603917e-02
62,17,1.542390e-02
63,17,1.495831e-02
64,17,1.586592e-02
65,17,1.693045e-02
66,17,1.534389e-02
67,17,1.582935e-02
68,17,1.489835e-02
69,17,1.438126e-02
70,17,1.557781e-02
71,17,1.508688e-02
72,17,1.465040e-02
73,17,1.471685e-02
74,17,1.564931e-02
75,17,1.405499e-02
76,17,1.568226e-02
77,17,1.442074e-02
78,17,1.465860e-02
79,17,1.457096e-02
80,17,1.384719e-02
81,17,1.223395e-02
82,17,1.383457e-02
83,17,1.292374e-02
84,17,1.111178e-02
85,17,1.085738e-02
86,17,8.812516e-03
87,17,7.660700e-03
88,17,6.350276e-03
89,17,3.652337e-03
90,17,2.044354e-03
91,17,1.462774e-03
92,17,3.679485e-03
93,17,4.350752e-03
94,17,5.730183e-03
95,17,6.449167e-03
96,17,7.324743e-03
97,17,7.237841e-03
98,17,9.446304e-03
99,17,8.887622e-03
100,17,8.579769e-03
101,17,7.791532e-03
102,17,9.116674e-03
103,17,8.662064e-03
104,17,7.734856e-03
105,17,7.339053e-03
106,17,6.184583e-03
107,17,7.150896e-03
108,17,5.672942e-03
109,17,5.507871e-03
110,17,5.516728e-03
111,17,5.026981e-03
112,17,4.477356e-03
113,17,3.503365e-03
114,17,2.848521e-03
115,17,2.808295e-03
116,17,1.801257e-03
117,17,1.151158e-03
118,17,1.114234e-03
119,17,5.476784e-04
61,18,1.615425e-02
62,18,1.653654e-02
63,18,1.739918e-02
64,18,1.764374e-02
65,18,1.821402e-02
66,18,1.633456e-02
67,18,1.615316e-02
68,18,1.794427e-02
69,18,1.656852e-02
70,18,1.560917e-02
71,18,1.638247e-02
72,18,1.705594e-02
73,18,1.641946e-02
74,18,1.670701e-02
75,18,1.667592e-02
76,18,1.565323e-02
77,18,1.576037e-02
78,18,1.534774e-02
79,18,1.545836e-02
80,18,1.583529e-02
81,18,1.417517e-02
82,18,1.457467e-02
83,18,1.433044e-02
84,18,1.198416e-02
85,18,1.267737e-02
86,18,1.051629e-02
87,18,8.251207e-03
88,18,6.976697e-03
89,18,4.182982e-03
90,18,2.062483e-03
91,18,2.062146e-03
92,18,4.019249e-03
93,18,5.289584e-03
94,18,7.174904e-03
95,18,7.551642e-03
96,18,8.036615e-03
97,18,8.792969e-03
98,18,9.886217e-03
99,18,9.042023e-03
100,18,9.592824e-03
101,18,1.001976e-02
102,18,9.434278e-03
103,18,8.468913e-03
104,18,8.442739e-03
105,18,8.874686e-03
106,18,7.553604e-03
107,18,7.229677e-03
108,18,7.011809e-03
109,18,7.205856e-03
110,18,6.241759e-03
111,18,4.863782e-03
112,18,4.647105e-03
113,18,3.840595e-03
114,18,3.278492e-03
115,18,3.101424e-03
116,18,2.151965e-03
117,18,1.716084e-03
118,18,9.428898e-04
119,18,6.287085e-04
61,19,1.721056e-02
62,19,1.835257e-02
63,19,1.722702e-02
64,19,1.703796e-02
65,19,1.757239e-02
66,19,1.788814e-02
67,19,1.854873e-02
68,19,1.791236e-02
69,19,1.783140e-02
70,19,1.752645e-02
71,19,1.946658e-02
72,19,1.880093e-02
73,19,1.792393e-02
74,19,1.769903e-02
75,19,1.790780e-02
76,19,1.802602e-02
77,19,1.749412e-02
78,19,1.855567e-02
79,19,1.762086e-02
80,19,1.826558e-02
81,19,1.795729e-02
82,19,1.798932e-02
83,19,1.586652e-02
84,19,1.530895e-02
85,19,1.485018e-02
86,19,1.208206e-02
87,19,1.113740e-02
88,19,8.200942e-03
89,19,5.501157e-03
90,19,3.081967e-03
91,19,2.325065e-03
92,19,4.274118e-03
93,19,6.453874e-03
94,19,7.471077e-03
95,19,8.868618e-03
96,19,9.887618e-03
97,19,1.113978e-02
98,19,1.063474e-02
99,19,1.276149e-02
100,19,1.198364e-02
