Knot_index,x,y,sol_analytic,sol_PDDS_GM,sol_PDDS_EM,err,rerr,sbias
464,1.777778e+01,1.000000e+01,3.263527e+00,3.224882e+00,3.213017e+00,-3.864506e-02,1.184150e-02,1.186528e-02
465,1.888889e+01,1.000000e+01,3.219766e+00,3.187749e+00,3.155556e+00,-3.201724e-02,9.943966e-03,3.219233e-02
466,2.111111e+01,1.000000e+01,3.121058e+00,3.095704e+00,3.076643e+00,-2.535434e-02,8.123635e-03,1.906054e-02
467,2.222222e+01,1.000000e+01,3.068299e+00,3.051509e+00,3.030759e+00,-1.678998e-02,5.472080e-03,2.074943e-02
468,2.333333e+01,1.000000e+01,3.014886e+00,2.995588e+00,2.978960e+00,-1.929870e-02,6.401138e-03,1.662726e-02
469,2.444444e+01,1.000000e+01,2.961990e+00,2.942352e+00,2.930911e+00,-1.963824e-02,6.630081e-03,1.144106e-02
470,2.555556e+01,1.000000e+01,2.910632e+00,2.901602e+00,2.890138e+00,-9.029818e-03,3.102356e-03,1.146412e-02
471,2.666667e+01,1.000000e+01,2.861643e+00,2.854335e+00,2.845609e+00,-7.307479e-03,2.553596e-03,8.726948e-03
472,2.777778e+01,1.000000e+01,2.815667e+00,2.808446e+00,2.802705e+00,-7.220829e-03,2.564518e-03,5.741403e-03
473,2.888889e+01,1.000000e+01,2.773205e+00,2.771024e+00,2.771352e+00,-2.180835e-03,7.863953e-04,3.281011e-04
474,3.000000e+01,1.000000e+01,2.734675e+00,2.734675e+00,2.734675e+00,4.440892e-16,1.623920e-16,4.440892e-16
475,-3.000000e+01,2.000000e+01,2.759873e+00,2.759873e+00,2.759873e+00,1.332268e-15,4.827278e-16,1.332268e-15
476,-2.888889e+01,2.000000e+01,2.722865e+00,2.718492e+00,2.718260e+00,-4.372927e-03,1.606002e-03,2.324301e-04
477,-2.777778e+01,2.000000e+01,2.689941e+00,2.689380e+00,2.685864e+00,-5.612086e-04,2.086323e-04,3.515705e-03
478,-2.666667e+01,2.000000e+01,2.663217e+00,2.657751e+00,2.653905e+00,-5.466014e-03,2.052410e-03,3.846234e-03
479,-2.555556e+01,2.000000e+01,2.643777e+00,2.636000e+00,2.631045e+00,-7.777185e-03,2.941695e-03,4.954717e-03
480,-2.444444e+01,2.000000e+01,2.631743e+00,2.620199e+00,2.611238e+00,-1.154448e-02,4.386628e-03,8.960767e-03
481,-2.333333e+01,2.000000e+01,2.626581e+00,2.620188e+00,2.609144e+00,-6.392272e-03,2.433686e-03,1.104409e-02
482,-2.222222e+01,2.000000e+01,2.627430e+00,2.615441e+00,2.608013e+00,-1.198900e-02,4.563015e-03,7.428834e-03
483,-2.111111e+01,2.000000e+01,2.633362e+00,2.623767e+00,2.613825e+00,-9.594790e-03,3.643552e-03,9.942568e-03
484,-1.888889e+01,2.000000e+01,2.657212e+00,2.651109e+00,2.638971e+00,-6.103390e-03,2.296915e-03,1.213830e-02
485,-1.777778e+01,2.000000e+01,2.673898e+00,2.659181e+00,2.644725e+00,-1.471680e-02,5.503875e-03,1.445685e-02
486,-1.666667e+01,2.000000e+01,2.693211e+00,2.681821e+00,2.668863e+00,-1.139012e-02,4.229198e-03,1.295749e-02
